player_name,dg_id,tour_l20,field_this_week,l5_starts,true_sg_l20,vs_baseline_l20
"Cink, Stewart",5665,champ,-,champ-cologuard classic-T6_champ-hoag classic newport beach-1_champ-senior pga championship-1_champ-mitsubishi electric classic-4_champ-regions tradition-1,1.01,0.89
"Scott, Sandy",23708,kft,-,kft-119 visa argentina open presented by macro-T19_kft-astara chile classic presented by scotiabank-T11_kft-club car championship at the landings golf  athletic club-T48_kft-lecom suncoast classic-T13_kft-tulum championship at pga riviera maya-3,1,1.38
"Rose, Justin",6093,pga,pga,pga-the genesis invitational-CUT_pga-arnold palmer invitational presented by mastercard-CUT_pga-the players championship-T13_major-masters tournament-T3_pga-cadillac championship-T65,0.98,-0.05
"Hillier, Daniel",21362,euro,-,euro-bapco energies bahrain championship-T4_euro-qatar masters-T20_anz|asa-105th new zealand open presented by millbrook resort-1_euro-volvo china open-CUT_euro-turkish airlines open-CUT,0.97,0.52
"Hisatsune, Ryo",22760,pga,pga,pga-the players championship-T13_pga-valspar championship-T30_pga-valero texas open-T8_pga-rbc heritage-T60_pga-cadillac championship-T65,0.97,0.79
"Stout, Preston",32089,am,-,am-pauma valley invitational presented by heads up-3_am-maridoe collegiate                                -T1_am-augusta haskins award invitational                -T14_am-mountaineer invitational at pete dye              -1_am-big 12 men's golf championship         -1,0.97,0.73
"Thompson, Davis",27364,pga,opp,pga-the players championship-CUT_pga-valspar championship-T46_pga-texas children's houston open-CUT_pga-valero texas open-T14_pga-zurich classic of new orleans-T6,0.97,0.49
"Yellamaraju, Sudarshan",29925,pga,pga,pga-texas children's houston open-T6_pga-valero texas open-T14_pga-rbc heritage-T52_pga-zurich classic of new orleans-34_pga-cadillac championship-T30,0.95,0.87
"Fox, Ryan",11889,pga,pga,pga-arnold palmer invitational presented by mastercard-T24_pga-texas children's houston open-CUT_major-masters tournament-CUT_pga-rbc heritage-T16_pga-cadillac championship-T30,0.95,0.17
"Ballester, Jose Luis",28473,liv,alt,liv-hong kong-T41_liv-singapore-T6_liv-south africa-T12_liv-mexico city-3_asa-singapore open presented by the business times-T3,0.95,0.77
"Smith, Jordan",18586,pga,-,pga-texas children's houston open-T44_pga-valero texas open-CUT_pga-rbc heritage-T16_pga-zurich classic of new orleans-CUT_pga-cadillac championship-T55,0.94,0.47
"Chacarra, Eugenio",26745,euro,euro,euro-hainan classic presented by maextro-CUT_euro-hero indian open-2_kft-tulum championship at pga riviera maya-T9_euro-volvo china open-T33_euro-turkish airlines open-T18,0.94,1.12
"Hatton, Tyrrell",14796,liv,alt,liv-hong kong-T45_liv-singapore-T10_liv-south africa-T38_major-masters tournament-T3_liv-mexico city-T5,0.92,0.07
"Berger, Daniel",17606,pga,pga,pga-arnold palmer invitational presented by mastercard-2_pga-the players championship-T66_major-masters tournament-CUT_pga-rbc heritage-T42_pga-cadillac championship-T23,0.91,0.38
"DeChambeau, Bryson",19841,liv,alt,liv-hong kong-T24_liv-singapore-1_liv-south africa-1_major-masters tournament-CUT_liv-mexico city-WD,0.89,-0.59
"Lowry, Shane",13900,pga,-,pga-texas children's houston open-T28_major-masters tournament-T30_pga-rbc heritage-T42_pga-zurich classic of new orleans-CUT_pga-cadillac championship-T23,0.89,-0.22
"Cauley, Bud",14502,pga,pga,pga-the players championship-T32_pga-valspar championship-74_pga-valero texas open-T21_pga-rbc heritage-7_pga-cadillac championship-T38,0.87,0.43
"Thomas, Justin",14139,pga,pga,pga-the players championship-T8_pga-valspar championship-T30_major-masters tournament-T41_pga-rbc heritage-T77_pga-cadillac championship-T23,0.86,0.08
"Mouw, William",29770,pga,-,pga-the players championship-T24_pga-texas children's houston open-T44_pga-valero texas open-CUT_pga-rbc heritage-T55_pga-zurich classic of new orleans-T26,0.86,0.58
"English, Harris",14577,pga,pga,pga-the players championship-CUT_pga-texas children's houston open-T21_major-masters tournament-T30_pga-rbc heritage-T4_pga-cadillac championship-T55,0.86,-0.59
"Mitchell, Keith",17365,pga,-,pga-the players championship-T46_pga-texas children's houston open-T14_pga-valero texas open-CUT_pga-zurich classic of new orleans-T30_pga-cadillac championship-T55,0.85,0.29
"Wiesberger, Bernd",9531,euro,euro,euro-investec south african open championship-T14_euro-joburg open-T12_euro-hero indian open-CUT_euro-volvo china open-1_euro-turkish airlines open-T13,0.84,1.46
"Clark, Wyndham",23604,pga,-,pga-valspar championship-CUT_pga-texas children's houston open-CUT_major-masters tournament-T21_pga-rbc heritage-T16_pga-zurich classic of new orleans-T20,0.83,0.32
"Cole, Eric",21756,pga,opp,pga-the players championship-T32_pga-valspar championship-CUT_pga-texas children's houston open-T51_pga-valero texas open-T14_pga-zurich classic of new orleans-T6,0.81,0.43
