player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Bauchou, Zach",11,0,0.001,0,40,33,0.16974242424242422,0.20683909090909092,0.27808272727272726,-0.20482787878787878,0.2800939393939394,0.5638120000000001
"Olesen, Thorbjorn",10,0,0.002,0,32,31,-0.13208258064516126,0.054106774193548396,0.38915516129032257,0.29372935483870966,0.7369912903225806,0.542770625
"Thompson, Davis",10,0,0,0,35,28,-0.38831607142857144,0.09402357142857143,0.4278739285714286,0.2845067857142857,0.8064042857142858,0.5323617142857143
"Johnson, Michael",9,0,0,0,34,0,-9999,-9999,-9999,-9999,-9999,0.5303729411764706
"Ancer, Abraham",8,0,0.005,0,32,24,0.16034,0.007913333333333347,0.57432,-0.008307500000000015,0.5739258333333334,0.524148125
"Homa, Max",11,0,0,0.012,38,35,0.29573485714285713,-0.06640657142857144,0.15243542857142856,0.19931428571428572,0.28534314285714285,0.511653947368421
"Cole, Eric",11,0,0,0,36,31,0.34618967741935486,0.5362387096774194,0.15689903225806454,-0.6823474193548387,0.010790322580645273,0.49146555555555554
"McGreevy, Max",12,0,0,0,40,37,-0.4631762162162162,0.08229675675675677,0.4672548648648649,0.3311472972972973,0.8806989189189189,0.480056
"Lindell, Oliver",12,0,0.001,0,47,24,0.289925,0.07940916666666666,0.56067375,-0.28641,0.3536729166666666,0.4734857446808511
"Maas, Christian",7,1,0.005,0,22,4,0.05064000000000002,0.6834450000000001,0.12519749999999996,0.6573925,1.4660350000000002,0.46590681818181817
"Guerrier, Julien",10,0,0.009000000000000001,0,38,24,0.3945666666666667,0.09263416666666668,0.23415708333333332,0.33890666666666663,0.6656979166666667,0.44448263157894735
"Kim, Michael",12,0,0.092,0,41,39,0.5690941025641026,0.17966179487179487,0.06810692307692309,-0.3731671794871795,-0.1253984615384615,0.4339685365853658
"Eichhorn, Hunter",9,0,0.001,0,32,0,-9999,-9999,-9999,-9999,-9999,0.43333375
"Dumont De Chassart, Adrien",10,0,0.002,0,36,29,0.014367931034482776,0.38397931034482763,0.11298896551724137,-0.039869999999999996,0.45709827586206897,0.4332977777777778
"Ferguson, Ewen",11,0,0.008,0,38,22,-0.0061813636363635925,-0.22589454545454546,0.7250254545454545,0.21054818181818183,0.7096790909090909,0.4258531578947369
"Akina, Kihei",9,2,0,0,29,0,-9999,-9999,-9999,-9999,-9999,0.42034758620689655
"Molinari, Francesco",6,0,0.01,0,22,14,-0.7243635714285714,-0.013162142857142836,0.7938907142857142,0.10932571428571428,0.8900542857142857,0.41586999999999996
"Ramey, Chad",11,0,0.002,0,42,37,0.7179435135135135,-0.10203540540540541,-0.1838381081081081,0.02301918918918918,-0.2628543243243243,0.41582571428571424
"Chacarra, Eugenio",13,0,0.279,0,45,20,-0.197374,0.028362500000000002,-0.3279645,0.21687249999999997,-0.08272950000000003,0.41500444444444445
"Oosthuizen, Louis",7,0,0,0,27,24,0.7375670833333334,-0.14070833333333332,-0.06231,-0.30028333333333335,-0.5033016666666666,0.4121140740740741
"Li, Haotong",12,0,0.009000000000000001,0,36,33,-0.07569666666666665,-0.1733030303030303,0.28451424242424245,0.40775515151515146,0.5189663636363636,0.41154083333333336
"Roy, Kevin",10,0,0.005,0,37,34,0.2064502941176471,0.33539852941176473,-0.3706755882352941,0.28347323529411766,0.24819617647058828,0.40531567567567567
"Smotherman, Austin",12,0,0.07400000000000001,0,36,33,-0.47413393939393944,-0.4394269696969697,0.8671881818181818,0.41048575757575756,0.8382469696969697,0.40429027777777776
"Wallace, Matt",12,0,0.092,0,43,38,0.11450105263157893,0.20784447368421052,0.22395078947368421,0.07684026315789474,0.5086355263157895,0.3792004651162791
"Moore, Taylor",9,0,0.049,0,32,29,0.2535286206896552,0.25316551724137937,-0.6291086206896552,0.4167241379310345,0.04078103448275866,0.377301875
"VanArragon, Caleb",9,0,0.002,0,36,0,-9999,-9999,-9999,-9999,-9999,0.36082333333333333
"Ortiz, Carlos",9,0,0.001,0,34,26,-0.4021896153846154,0.2309780769230769,0.363088076923077,0.07460846153846153,0.6686746153846154,0.35526382352941177
"Armitage, Marcus",11,0,0.003,0,41,20,0.406353,0.549709,-0.2038705,-0.0445285,0.30130999999999997,0.3479092682926829
"Munoz, Sebastian",8,0,0,0,32,24,0.23002083333333334,-0.17050791666666668,0.4420854166666666,-0.05899958333333333,0.21257791666666662,0.336648125
"Dossey, Cooper",9,0,0,0,32,0,-9999,-9999,-9999,-9999,-9999,0.3329584375
